2025-06-28 06:04:21,508 [INFO] fetch_kline.py:81 筛选得到 2011 只股票
2025-06-28 06:04:21,509 [INFO] fetch_kline.py:336 开始抓取 2011 支股票 | 数据源:akshare | 频率:day | 日期:20190101 → 20250628
2025-06-28 06:10:42,583 [INFO] fetch_kline.py:363 全部任务完成，数据已保存至 /home/runner/work/StockTradebyZST/StockTradebyZST/data
2025-06-28 06:27:06,609 [INFO] fetch_kline.py:81 筛选得到 2011 只股票
2025-06-28 06:27:06,614 [INFO] fetch_kline.py:336 开始抓取 2011 支股票 | 数据源:akshare | 频率:day | 日期:20190101 → 20250628
2025-06-28 06:31:45,635 [INFO] fetch_kline.py:363 全部任务完成，数据已保存至 /home/runner/work/StockTradebyZST/StockTradebyZST/data
2025-06-28 08:17:49,858 [INFO] fetch_kline.py:81 筛选得到 2011 只股票
2025-06-28 08:17:49,863 [INFO] fetch_kline.py:336 开始抓取 2011 支股票 | 数据源:akshare | 频率:day | 日期:20190101 → 20250628
2025-06-28 08:23:39,440 [INFO] fetch_kline.py:363 全部任务完成，数据已保存至 /home/runner/work/StockTradebyZST/StockTradebyZST/data
2025-06-29 08:17:20,358 [INFO] fetch_kline.py:81 筛选得到 2011 只股票
2025-06-29 08:17:20,363 [INFO] fetch_kline.py:336 开始抓取 2011 支股票 | 数据源:akshare | 频率:day | 日期:20190101 → 20250629
2025-06-29 08:20:02,397 [WARNING] fetch_kline.py:162 AKShare 拉取 002335 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-06-29 08:20:03,005 [WARNING] fetch_kline.py:162 AKShare 拉取 002334 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-06-29 08:20:03,629 [WARNING] fetch_kline.py:162 AKShare 拉取 002342 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-06-29 08:20:03,667 [WARNING] fetch_kline.py:162 AKShare 拉取 002338 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-06-29 08:20:05,479 [WARNING] fetch_kline.py:162 AKShare 拉取 002340 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-06-29 08:20:06,554 [WARNING] fetch_kline.py:162 AKShare 拉取 002344 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-06-29 08:20:07,292 [WARNING] fetch_kline.py:162 AKShare 拉取 002342 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-06-29 08:20:08,149 [WARNING] fetch_kline.py:162 AKShare 拉取 002345 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-06-29 08:20:08,360 [WARNING] fetch_kline.py:162 AKShare 拉取 002346 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-06-29 08:20:08,463 [WARNING] fetch_kline.py:162 AKShare 拉取 002344 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-06-29 08:20:09,425 [WARNING] fetch_kline.py:162 AKShare 拉取 002349 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-06-29 08:20:10,486 [WARNING] fetch_kline.py:162 AKShare 拉取 002345 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
